date_of_report,description,latitude,longitude,salinity,salinity_units,water_depth,water_depth_units,created_at,updated_at,location,address,attachment_file_name1,attachment_file_name2,attachment_file_name3
10/16/16 9:30,Very localized flooding where all the storm drains are located. The grass near the storm drains also contains a lot of flooding as well. The water is extremely brackish according to the refractometor. Rain began to fall as my group and I were at this location which will affect the salinity later on in the day. ,25.69012,-80.1698,2,ppt,5.5,inches,,,"605 Allendale Rd, Key Biscayne, FL 33149, USA
 25.69012, -80.16980","605 Allendale Rd, Key Biscayne, FL 33149, USA
 25.69012, -80.16980",http://willitflood.org/2016reports/IMG_20161016_092450.vr.jpg,http://willitflood.org/2016reports/IMG_20161016_092423.vr.jpg,http://willitflood.org/2016reports/IMG_4621.JPGIMG_20161016_092041.vr.jpg
10/16/16 9:40,"There was lots of flooding in this area ! The difference with the flooding in this area is the salinity. There was a storm drain located by this flood. It was 0 ppt, which means it was fresh water.",25.69382,-80.16827,0,ppt,5.5,inches,,,"235 W Heather Dr, Key Biscayne, FL 33149, USA
 25.69382, -80.16827","235 W Heather Dr, Key Biscayne, FL 33149, USA
 25.69382, -80.16827",http://willitflood.org/2016reports/IMG_0809.PNG,http://willitflood.org/2016reports/IMG_0808.PNG,http://willitflood.org/2016reports/IMG_4621.JPGIMG_20161016_094337.vr.jpg
10/16/16 9:50,This flood location was the highest flood we found so far. It was as high as 8 inches and also had a salinity of 0 ppt. ,25.6925,-80.17091,0,ppt,9,inches,,,"351-361 Palmwood Ln, Key Biscayne, FL 33149, USA
 25.69250, -80.17091","351-361 Palmwood Ln, Key Biscayne, FL 33149, USA
 25.69250, -80.17091",http://willitflood.org/2016reports/IMG_0816.JPG,http://willitflood.org/2016reports/IMG_0815.JPG,
10/16/16 9:30,"This flood is located on the intersection of Allendale Road and West Heather Drive. It seems to be localized near two storm drains. The water extends into the grass. With the help of the refractometer, we determined the water was brackish. ",25.6937,-80.1691,2,ppt,5.5,inches,,,"401 Allendale Rd, Key Biscayne, FL 33149, USA
 25.69370, -80.16910","401 Allendale Rd, Key Biscayne, FL 33149, USA
 25.69370, -80.16910",https://www.jotform.com/uploads/susanjacobson/62585175394163/352434508262633272/image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352434508262633272/25_image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352434508262633272/26_image.jpeg
10/16/16 9:40,"This flood is located at the intersection of West Heather Drive and Harbor Drive. The flood is centered in a dip in the road, near a storm drain. The refractometer indicated the water had a salinity of 0 parts per thousand, meaning it was fresh water. ",25.69382,-80.17234,0,ppt,5.5,inches,,,"400 Harbor Dr, Key Biscayne, FL 33149, USA
 25.69382, -80.17234","400 Harbor Dr, Key Biscayne, FL 33149, USA
 25.69382, -80.17234",https://www.jotform.com/uploads/susanjacobson/62585175394163/352435332262745493/image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352435332262745493/25_image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352435332262745493/26_image.jpeg
10/16/16 10:00,This flood is located at the intersection of West Palmwood Lane and Allendale Road. It extends onto the grass and properties of residences nearby. It is centered directly on a storm drain. ,25.69253,-80.16984,3,ppt,8.5,inches,,,"315 Palmwood Ln, Key Biscayne, FL 33149, USA
 25.69253, -80.16984","315 Palmwood Ln, Key Biscayne, FL 33149, USA
 25.69253, -80.16984",https://www.jotform.com/uploads/susanjacobson/62585175394163/352436090262523622/image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352436090262523622/25_image.jpeg,https://www.jotform.com/uploads/susanjacobson/62585175394163/352436090262523622/26_image.jpeg
10/16/16 10:20,The tide was very high that benches were partially submerged. People fishing were in knee high water. ,26.01954,-80.12084,,,,,,,"801-899 N 8th Ave, Hollywood, FL 33019, USA
 26.01954, -80.12084","801-899 N 8th Ave, Hollywood, FL 33019, USA
 26.01954, -80.12084",http://willitflood.org/2016reports/trim.3213A323-5F43-48C5-BB55-97D5FD6E7A47.MOV,http://willitflood.org/2016reports/IMG_1054.JPG,http://willitflood.org/2016reports/IMG_4621.JPGIMG_20161016_102016.vr.jpg
10/14/16 8:30,Water breaching sea wall.  Damaging old growth tree.  Flooding of cars in parking area. ,25.8565,-80.13285,,,10,inches,,,"1255 Marseille Dr, Miami, FL 33141, USA
 25.85650, -80.13285","1255 Marseille Dr, Miami, FL 33141, USA
 25.85650, -80.13285",http://willitflood.org/2016reports/trim.D55FFFAF-0114-4FAD-AFE0-C6F69C0DC250.MOV,http://willitflood.org/2016reports/IMG_4621.JPG,
10/16/16 9:20,Peacock Park off end of parking lot by a stone marker. See photo.,25.72566,-80.24055,28,ppt,1.75,inches,,,"2820 McFarlane Rd, Miami, FL 33133, USA
 25.72566, -80.24055","2820 McFarlane Rd, Miami, FL 33133, USA
 25.72566, -80.24055",http://willitflood.org/2016reports/IMG_5078.JPG,,
10/16/16 9:30,The first location was on West Heather Drive and Allendale Road. The deepest water depth near one storm drain measured five and half inches and the salinity measurement idincated by the refractometer mesures two PPT which in this case it means the water was brackish. The localized area in this location has three storm drains and only one was lightly functioning. ,25.69383,-80.17144,2,ppt,5.5,inches,,,"300-398 Palmwood Ln, Key Biscayne, FL 33149, USA
 25.69383, -80.17144","300-398 Palmwood Ln, Key Biscayne, FL 33149, USA
 25.69383, -80.17144",http://willitflood.org/2016reports/IMG_0444.JPG,http://willitflood.org/2016reports/IMG_20161016_092425.vr.jpg,http://willitflood.org/2016reports/IMG_4621.JPGIMG_0425.JPG
