latitude,longitude,geometry,date,time,address_full,water depth,water depth units,water depth photo,salinity,salinity units,salinity photo,bottle number,bottle photo,Description,closeup photo,context photo,video,bacterial source photo,Field Notes,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy
,,,11/4/17,9:07,3251 south Miami avenue miami miami fl 33129 usa,, ,,, ,,,,,,,,,,,,
25.9121668,-80.210216,POINT (-80.210216 25.9121668),11/4/17,9:12,3251 south Miami avenue Miami Miami Fl 33129 USA,9.8,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=4471dc2c-f93a-42a6-b861-d9370e604d4f%2C1b94eb8f-8d63-4342-bbd6-803bd27bc0a2,29,Parts Per Thousand (ppt),https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=90f71d3c-7f16-4b40-a479-e8f66a774c44%2C6addbfe9-1328-4c49-bde8-bf5d9a4738eb%2Cb44a6921-9b68-4858-9c71-f4c35c4faab2,1,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=28b320ef-a580-4524-a074-8596bc7b322f%2C532b1aa6-758f-4c99-89be-d9c3209b00a2%2C90617f0f-3d20-4f18-8064-b17a962aa8a0,"A mangrove area located on the edge of the coast, a lot of trash floating around, water looks clear.",https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=9d54c2b0-f6cd-4842-8de6-ed2cab787c3f%2C1d4c4281-ca60-41fc-986c-9a8b466be5b0,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=bc44c69b-4b72-4127-bb36-57c0d6b7cfc9%2C1fd9a95c-879e-4084-9bc0-d46fba02d251,https://web.fulcrumapp.com/shares/d12d88f8607e761c/videos/view?videos=1468f619-4558-42da-ab45-07c9f9cbbd49,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=c4227790-2712-4a9e-9a94-e6608dfb3d61%2Caf598f25-794e-475d-8a72-b30d6fc4b2ea,For the bacterial source: the solid waste was floating around located closest to the edge of the flood.,,620.912,
25.72833307,-80.237611,POINT (-80.2376110024393 25.7283330677959),11/4/17,9:40,S Bayshore Dr Miami Miami-Dade FL 33133 US,0.25,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=63c5810f-2545-48f1-990b-48d260df9758%2Cb04e7737-14f6-46ae-98e8-85a408eff7b2,0,Parts Per Thousand (ppt),https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=b11a29b7-a9c6-45bc-955f-2f2041c71188,1,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=efcd70a2-eade-4054-826c-919be60ae42f,Not much of a flood ,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=9f9c67a3-3082-4d84-b253-ad8c5fc3b903,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=bf2da712-e1e1-4227-bb35-5d934cac88ad,,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=1484d402-85b3-4d7f-8a1a-2364430b69b4,,2.143635553,6,3
25.6902667,-80.1730617,POINT (-80.1730617 25.6902667),11/4/17,10:10,635-645 Sunset Circle Key Biscayne Miami-Dade County Florida 33149 United States,0,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=6ad8966a-5769-484a-ad29-67514f70ad9d%2Ca538e4e6-830a-4ab6-a2ed-62648ed3b9d6%2C629b400f-436e-4515-af3a-c5528b4587d6,0,Parts Per Thousand (ppt),,,,None,,,,,No flooding in this area. Locals reported no flooding events yet during king tides.,-33,7.585,
25.84648905,-80.17645692,POINT (-80.1764569246025 25.846489048587),11/4/17,10:42,NE Little River Dr Miami Miami-Dade FL 33138 US,7.25,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=8e5d88ff-779f-4774-8edc-54616780d84e,10,Parts Per Thousand (ppt),https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=213b2e62-4a91-4450-8645-460cd2ef7630,2,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=59d56016-2dbc-4682-8917-ef37edecf965,,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=d7f56240-3373-4d2d-89b4-55b82a068364,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=dee13ca6-6b2c-4fcd-bd3d-ae6e815d15a7,,,Oil in the water,3.419262366,5,3
25.91261032,-80.13813486,POINT (-80.1381348633022 25.9126103203985),11/4/17,10:32,North Miami Miami-Dade FL 33181 US,4,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=6fea23f5-3aff-451c-ada4-f32a06a701b5,30,Parts Per Thousand (ppt),https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=0e20e27f-516c-49ef-914e-c143b4ac3ffb,1,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=0de03d85-d8a4-4dd3-94c7-1ca3ceea4ddb,Flood is clearly higher than normal water line. There is coloration in the cement that shows normal water line and water goes past this line. No objects are floating in water and no water overflowing from nearby storm drain. ,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=d6c52356-1d28-4104-b314-6096b0bcfc0b,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=a58f18c4-fd69-4b29-9188-caf19896ae64%2C7f01e422-a9b9-46da-8e87-10ec7685c47b,,,,4.218121647,5,3
25.8470599,-80.17644754,POINT (-80.176447536871 25.8470598981025),11/4/17,10:43,7700â€“7898 NE 10th Ave Miami Miami-Dade FL 33138 US,5,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=30aefe60-1269-40b4-bf38-ef5f95d020dd,10,Parts Per Thousand (ppt),https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=7cc5d7e7-ae66-4dbe-b419-5f7901920e4a,2,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=d593d39a-49a0-4722-be49-7ad0d2ccf383,"The flood got wider and 1 inch deeper, we see bubbles from infiltration ",https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=cad46812-79b5-4d4d-a541-4ec2dbabfa3b,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=a6d1ef4f-5ee6-47ba-b84c-5285de155ee3,https://web.fulcrumapp.com/shares/d12d88f8607e761c/videos/view?videos=ecd2bd28-c353-4e3d-bde6-537ad67a9705,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=b2113826-fa1e-4fab-be1b-0d02ba5bbb01,,-3.856595598,5,3
25.7055562,-80.261332,POINT (-80.261332 25.7055562),11/4/17,10:52,401-449 Southwest 72nd Street Coral Gables Miami-Dade County Florida 33143 United States,, ,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=eae8eb02-c265-4543-9da7-125b9a05efa9%2C6b6a0b81-26f8-442c-85b2-1973cf5dba51%2C835b4eda-b5fe-43d6-8176-22e531777f59,, ,,,,,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=c7e1b31d-0752-4bb9-aca7-d80c467c00c3,,,,,6,10,
25.7476602,-80.2110918,POINT (-80.2110918 25.7476602),11/4/17,8:29,50 SW 32nd Rd Miami Miami-Dade FL 33129 US,7.5,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=69d0954e-fac9-4da6-884b-afd354b582c7%2Cc405365b-6fcd-4f14-92d3-5547f882ead2%2C9e834b90-0dac-4146-a724-401e6f331127,3,Parts Per Thousand (ppt),https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=629ac5e5-2cbf-4177-b2cf-38eaa4e4dcbf%2Ccb6c4a3c-98c0-4d31-b8f3-7bca09684cde,1,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=2848988e-e025-49cf-a5fd-061f91a805a9%2Cf7d135b0-e28d-4ea6-889f-2fb81bb96260%2C1a1e35c5-47a8-41af-805f-34c71d8f040b,"
",https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=704648b4-c599-4641-8b90-45265d36a274%2Cf7cde47e-f106-4029-a850-07bb8da64480%2C39fd2d8a-840b-48ba-9ecf-3031159093c6%2C356e48be-360e-4db6-bc03-ecd78d70775e,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=34bdcdc1-7a80-4fb7-8d0b-a7766d143ded%2Cbe14b0f2-12a3-4dbb-a19b-5ff58f03813b%2C216bb68e-d5cd-4b1b-b675-7acef35212d2%2C0c269bff-3033-4ae6-beaa-f9d3d79d0d17,https://web.fulcrumapp.com/shares/d12d88f8607e761c/videos/view?videos=04b849bd-57c3-4287-be7d-186bf8727051,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=24c580f5-c952-4e3c-8d8d-1c32f2c9c8ad%2C01353101-744a-4ece-98e2-c23b699fb4b4%2C56cb46cf-9f20-4d3c-bbc0-84484561c8c7,,-14,58,
25.84659026,-80.17628526,POINT (-80.1762852632256 25.8465902600678),11/4/17,10:22,7815 NE 10th Ave Miami Miami-Dade FL 33138 US,7.8,Inches,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=551840d0-bd5b-4e8a-82af-ec7995a725e0%2Cbb6e7c9a-58c9-47b2-9b3b-aa3f395a9f6f,10,Parts Per Thousand (ppt),https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=8edefcf8-b221-43b9-9dab-5b1b36103a3b,,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=280f6266-5d6a-4f9c-985e-eec37071f80e%2C957980d0-66bb-4a2b-84be-9af9876ee08b,,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=4d561c13-369c-4369-964d-571f67a58c78,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=5962bd03-2c1c-45a7-b442-1f97ffeadb19,https://web.fulcrumapp.com/shares/d12d88f8607e761c/videos/view?videos=874c239b-6b5c-444e-955a-57e4ebd56eba,https://web.fulcrumapp.com/shares/d12d88f8607e761c/photos/view?photos=b2e15f5e-9ac9-4cef-a5dd-bc8d5517891c,Began raining around 10:50 am,0.519249231,5,3
